Program Name,Degree Type,College
"Accountancy, MAcc (http://catalog.tamucc.edu/graduate/business/masters/accountancy-macc/)",Master Degree Programs,College of Business
"Accounting, BBA (http://catalog.tamucc.edu/undergraduate/business/bachelors/accounting-bba/)",Bachelor Degree Programs,College of Business
"Accounting, Minor (http://catalog.tamucc.edu/undergraduate/business/minors/accounting-minor/)",Minors,College of Business
"Business Administration, Minor (http://catalog.tamucc.edu/undergraduate/business/minors/business-administration-minor/)",Minors,College of Business
"Business Analytics and Information Systems, BBA (http://catalog.tamucc.edu/undergraduate/business/bachelors/management-information-systems-bba/)",Bachelor Degree Programs,College of Business
"Business Analytics and Information Systems, Minor (http://catalog.tamucc.edu/undergraduate/business/minors/management-information-systems-minor/)",Minors,College of Business
"Business Economics, BBA (http://catalog.tamucc.edu/undergraduate/business/bachelors/business-economics-bba/)",Bachelor Degree Programs,College of Business
"Economics, Minor (http://catalog.tamucc.edu/undergraduate/business/minors/economics-minor/)",Minors,College of Business
"Entrepreneurship, Minor (http://catalog.tamucc.edu/undergraduate/business/minors/entrepreneurship-minor/)",Minors,College of Business
"Finance, BBA (http://catalog.tamucc.edu/undergraduate/business/bachelors/finance-bba/)",Bachelor Degree Programs,College of Business
"Finance, Minor (http://catalog.tamucc.edu/undergraduate/business/minors/finance-minor/)",Minors,College of Business
"General Business, BBA (http://catalog.tamucc.edu/undergraduate/business/bachelors/general-business-bba/)",Bachelor Degree Programs,College of Business
"Human Resource Management, Minor (http://catalog.tamucc.edu/undergraduate/business/minors/human-resource-management-minor/)",Minors,College of Business
"International Business, Minor (http://catalog.tamucc.edu/undergraduate/business/minors/international-business-minor/)",Minors,College of Business
"Management, BBA (http://catalog.tamucc.edu/undergraduate/business/bachelors/management-bba/)",Bachelor Degree Programs,College of Business
"Management, Minor (http://catalog.tamucc.edu/undergraduate/business/minors/management-minor/)",Minors,College of Business
"Marketing, BBA (http://catalog.tamucc.edu/undergraduate/business/bachelors/marketing-bba/)",Bachelor Degree Programs,College of Business
"Marketing, Minor (http://catalog.tamucc.edu/undergraduate/business/minors/marketing-minor/)",Minors,College of Business
Master of Business Administration (MBA)(http://catalog.tamucc.edu/graduate/business/masters/mba/),Master Degree Programs,College of Business
