CourseName,CourseNumber,Credits,Prerequisite
Functional Biology,BIO 1330,3,N/A
Organismal Biology,BIO 1331,3,BIOL 1307
General Chemistry I, CHEM 1341,3,N/A
General Chemistry II,CHEM 1342,3,CHEM 1312
Organic Chemistry I,CHEM 2341,3,N/A
General Physics I,PHYS 1315,3,N/A
Life and Physical Sciences,BIO 1330,3,N/A
Government/Political Science,POSI 2310,3,N/A
Genetics,BIO 2450,4,N/A
Microbiology,BIO 2400,4,BIO 1130
Intermediate Zoology,BIO 2411,4,BIO 1131
Calculus I,MATH 2471,4,MATH 1315
Calculus II,MATH 2472,4,MATH 2471
Functions of American Government,POSI 2320,3,N/A
General Ecology,BIO 4416,4,BIO 2450
Vertebrate Physiology,BIO 3421,4,BIO 2450
General Physics I,PHYS 1335,3,MATH 1317
General Physics II,PHYS 1345,3,PHYS 1125
Philosophy and Critical Thinking,PHIL 1305,3,PHIL 1305
Electricity and Magnetism,PHYS 2326,3,PHYS 2325
Evolution,BIO 4301,3,BIO 2450
Intermediate General Botany,BIO 2410,4,BIO 1130
