CourseName,CourseNumber,Credits,Prerequisite
Fundamentals of Computer Science,CS 1319,3,N/A
Foundations of Computer Science I,CS 1428,4,N/A
Foundations of Computer Science II,CS 2308,3,CS 1428
Assembly Language,CS 2318,3,CS 2308
Mechanics and Mechanics Laboratory,PHYS 2325 & PHYS 2125,4,N/A
Electricity and Magnetism and Laboratory,PHYS 2326 & PHYS 2126,4,PHYS 2325
Calculus I,MATH 2471,4,N/A
Calculus II,MATH 2472,4,MATH 2471
Philosophy,PHIL 1305 or PHIL 1320,3,N/A
Communication,COMM 1310,3,N/A
Social and Behavioral Sciences,Elective,3,N/A
Life and Physical Sciences,Elective,4,N/A
Discrete Mathematics,MATH 2358,3,N/A
Computer Architecture,CS 3339,3,N/A
Database Systems,CS 3358,3,CS 2308
Object-Oriented Design and Programming,CS 3354,3,CS 2308
Numerical Analysis,MATH 3398,3,MATH 2472
Operating Systems,CS 3360,3,CS 3339
Software Engineering,CS 3398,3,CS 3354
Compiler Construction,CS 4318,3,N/A
Human Factors of Computer Systems,CS 4326,3,N/A
Parallel Programming,CS 4380,3,N/A
Software Engineering Project,CS 4398,3,CS 3398
Advanced Linear Algebra,MATH 3305,3,MATH 2472
Independent Study in Computer Science,CS 4395,3,N/A
Honors Capstone,HON 4390B,3,Department approval required
Mentored Research and Creative Expression,RES 4399,3,Department approval required
American History,Elective,3,N/A
Creative Arts,HUMA 1315,3,N/A
Government/Political Science,POSI 2310,3,N/A
Government/Political Science,POSI 2320,3,POSI 2310
English Technical Writing,ENG 3303 or ENG 3313,3,N/A
US Seminar,US 1100,1,N/A
